VE_FORMS,PEDS,COUNTY,MONTH,DAY_WEEK,ROUTE,MAN_COLL,drunk_dr,light_cond,SPEEDREL,VSPD_LIM,age_dr1,sex_dr1
2,0,63,January,Saturday,County Road,Angle,No,Daylight,Yes,55,27,Male
2,0,137,January,Monday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,68,Female
1,1,15,January,Saturday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,16,Male
2,0,75,January,Thursday,County Road,Front-to-Front,Yes,Not Daylight,No/unknown,55,20,Male
2,0,49,January,Saturday,State Highway,Angle,No,Not Daylight,No/unknown,,25,Male
2,0,17,January,Tuesday,Interstate,Angle,No,Not Daylight,No/unknown,70,73,Male
1,1,163,January,Monday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,35,47,Male
1,0,163,January,Thursday,State Highway,Not Col. Moving,No,Daylight,Yes,70,53,Female
1,1,163,January,Saturday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,40,58,Female
1,0,33,January,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,61,Male
1,0,71,January,Wednesday,U.S. Highway,Not Col. Moving,No,Not Daylight,Yes,55,49,Female
1,1,163,January,Friday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,35,,Unknown
1,0,115,January,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,45,84,Female
1,1,49,January,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,67,Male
2,0,115,January,Sunday,Local Street,Sideswipe,No,Not Daylight,No/unknown,25,54,Male
1,1,163,January,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,63,Unknown
2,0,163,January,Sunday,State Highway,Angle,No,Not Daylight,No/unknown,35,20,Female
1,0,163,January,Saturday,Interstate,Not Col. Moving,No,Not Daylight,Yes,35,43,Female
2,0,111,January,Monday,U.S. Highway,Not Col. Moving,No,Not Daylight,Yes,70,65,Male
1,0,31,January,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,45,Male
2,0,137,January,Wednesday,State Highway,Angle,No,Daylight,Yes,55,38,Male
2,0,145,January,Tuesday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,23,Female
1,1,163,January,Friday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,48,Male
2,0,115,January,Tuesday,County Road,Angle,Yes,Not Daylight,No/unknown,55,24,Male
2,0,91,January,Thursday,State Highway,Angle,No,Daylight,No/unknown,55,34,Male
2,0,125,January,Monday,Interstate,Angle,No,Not Daylight,Yes,70,39,Male
2,0,63,January,Friday,State Highway,Angle,No,Daylight,Yes,55,21,Male
2,0,139,January,Saturday,County Road,Angle,Yes,Not Daylight,Yes,,53,Female
1,0,163,January,Sunday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,25,Female
2,0,45,January,Sunday,State Highway,Front-to-Front,No,Not Daylight,No/unknown,55,51,Male
1,1,37,January,Tuesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,35,59,Male
2,0,93,January,Thursday,Local Street,Front-to-Front,Yes,Not Daylight,No/unknown,35,31,Female
2,0,151,January,Thursday,State Highway,Angle,Yes,Daylight,Yes,55,52,Male
1,0,163,January,Monday,Interstate,Not Col. Moving,Yes,Not Daylight,Yes,55,52,Female
1,1,163,January,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,40,,Unknown
1,1,163,January,Friday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,35,,Unknown
1,1,163,January,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,45,47,Male
2,0,143,February,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,16,Male
2,0,121,January,Friday,State Highway,Angle,No,Not Daylight,Yes,55,30,Male
2,0,139,February,Monday,State Highway,Front-to-Front,No,Not Daylight,No/unknown,55,69,Female
2,0,129,February,Wednesday,State Highway,Angle,No,Daylight,No/unknown,,29,Male
2,0,59,February,Friday,County Road,Angle,No,Daylight,No/unknown,55,84,Female
1,0,73,February,Sunday,U.S. Highway,Not Col. Moving,No,Daylight,Yes,70,53,Male
2,0,17,February,Friday,Interstate,Not Col. Moving,No,Daylight,Yes,70,60,Male
2,0,149,February,Friday,U.S. Highway,Angle,No,Not Daylight,No/unknown,,43,Female
2,0,105,February,Wednesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,28,Female
2,0,163,February,Saturday,Interstate,Front-to-Rear,No,Not Daylight,No/unknown,70,37,Male
2,0,49,February,Sunday,U.S. Highway,Front-to-Front,Yes,Not Daylight,No/unknown,70,18,Male
3,0,111,February,Monday,U.S. Highway,Front-to-Front,No,Not Daylight,No/unknown,45,86,Male
1,0,161,February,Saturday,Local Street,Not Col. Moving,No,Daylight,Yes,35,65,Male
2,2,81,February,Saturday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,55,48,Male
2,0,155,February,Wednesday,State Highway,Angle,No,Daylight,No/unknown,,92,Male
1,1,93,February,Saturday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,27,Male
2,0,15,February,Saturday,County Road,Angle,No,Daylight,No/unknown,,42,Female
1,0,163,February,Monday,Interstate,Not Col. Moving,No,Daylight,Yes,55,40,Male
2,0,45,February,Friday,State Highway,Angle,Yes,Daylight,No/unknown,,41,Male
1,0,131,February,Saturday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,55,42,Male
2,0,163,February,Saturday,Interstate,Front-to-Rear,Yes,Not Daylight,No/unknown,55,18,Female
1,1,99,February,Thursday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,40,,Unknown
1,2,25,February,Saturday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,50,57,Female
3,0,23,February,Saturday,U.S. Highway,Front-to-Rear,No,Daylight,No/unknown,55,23,Male
1,0,87,February,Friday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,55,24,Male
1,1,125,February,Thursday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,45,24,Male
2,0,133,February,Saturday,State Highway,Front-to-Front,No,Daylight,Yes,55,20,Female
3,0,99,February,Thursday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,76,Male
2,0,163,February,Friday,Local Street,Front-to-Rear,No,Not Daylight,No/unknown,40,27,Male
1,0,99,February,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,25,Male
2,0,57,February,Friday,State Highway,Angle,No,Not Daylight,Yes,55,32,Male
2,0,99,February,Saturday,State Highway,Angle,Yes,Not Daylight,No/unknown,,39,Male
1,0,125,February,Thursday,U.S. Highway,Not Col. Moving,No,Daylight,Yes,50,57,Male
5,0,125,February,Thursday,State Highway,Front-to-Front,No,Daylight,No/unknown,50,51,Female
1,1,163,February,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,,Unknown
1,1,163,February,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,36,Male
1,1,163,February,Thursday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,30,22,Female
2,0,5,February,Wednesday,County Road,Angle,No,Daylight,No/unknown,35,82,Male
2,0,139,February,Friday,County Road,Front-to-Front,No,Daylight,No/unknown,55,88,Male
1,1,161,February,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,70,56,Male
2,0,5,February,Friday,U.S. Highway,Angle,No,Daylight,No/unknown,70,72,Male
2,0,93,February,Friday,U.S. Highway,Front-to-Rear,Yes,Not Daylight,No/unknown,70,49,Male
2,0,113,February,Sunday,County Road,Front-to-Front,No,Daylight,Yes,55,30,Male
1,1,65,February,Thursday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,22,Female
1,1,163,February,Thursday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,,Unknown
2,0,81,February,Monday,County Road,Angle,No,Daylight,No/unknown,55,61,Female
2,0,81,February,Sunday,Local Street,Angle,No,Daylight,Yes,40,23,Male
1,0,163,February,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,82,Female
4,0,161,February,Thursday,State Highway,Front-to-Rear,No,Daylight,No/unknown,55,64,Male
2,0,19,February,Thursday,U.S. Highway,Front-to-Front,No,Daylight,No/unknown,55,41,Male
2,0,81,February,Friday,State Highway,Angle,No,Daylight,Yes,55,54,Female
2,1,117,February,Friday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,45,Male
2,0,73,February,Thursday,State Highway,Front-to-Front,Yes,Not Daylight,No/unknown,55,26,Female
2,1,163,February,Thursday,Interstate,Front-to-Rear,No,Not Daylight,No/unknown,55,,Unknown
1,0,93,February,Saturday,Interstate,Not Col. Moving,Yes,Not Daylight,No/unknown,70,32,Male
2,1,163,February,Monday,County Road,Front-to-Rear,No,Daylight,No/unknown,35,80,Male
1,1,81,March,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,21,Male
2,0,21,March,Monday,Interstate,Front-to-Rear,No,Daylight,Yes,70,30,Male
2,0,123,March,Monday,County Road,Front-to-Front,No,Daylight,No/unknown,55,48,Male
1,0,93,March,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,23,Male
1,0,37,March,Saturday,Interstate,Not Col. Moving,No,Daylight,Yes,70,50,Male
1,1,125,March,Tuesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,45,21,Female
2,0,161,March,Thursday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,25,24,Male
2,0,117,March,Sunday,State Highway,Angle,No,Daylight,No/unknown,,72,Male
2,0,81,March,Thursday,State Highway,Front-to-Front,No,Not Daylight,Yes,40,40,Female
2,0,49,March,Sunday,Local Street,Front-to-Rear,Yes,Not Daylight,Yes,35,30,Male
2,0,81,March,Sunday,Local Street,Angle,No,Daylight,No/unknown,,18,Male
2,0,117,March,Saturday,State Highway,Sideswipe,No,Daylight,No/unknown,55,24,Male
1,0,81,March,Monday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,70,26,Male
2,0,21,March,Monday,U.S. Highway,Front-to-Rear,No,Daylight,No/unknown,55,20,Male
2,0,115,March,Wednesday,State Highway,Angle,No,Daylight,No/unknown,55,17,Female
1,2,17,March,Sunday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,25,21,Male
1,0,159,March,Saturday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,45,Male
1,0,51,March,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,20,Male
1,0,25,March,Thursday,Interstate,Not Col. Moving,No,Daylight,No/unknown,60,53,Male
1,0,163,March,Sunday,Interstate,Not Col. Moving,Yes,Daylight,No/unknown,70,28,Female
2,0,81,March,Saturday,Interstate,Sideswipe,Yes,Not Daylight,Yes,70,42,Female
2,0,165,March,Saturday,County Road,Front-to-Rear,Yes,Not Daylight,Yes,55,30,Female
2,0,75,March,Wednesday,U.S. Highway,Not Col. Moving,No,Daylight,Yes,70,66,Male
2,0,117,March,Tuesday,State Highway,Front-to-Front,No,Not Daylight,No/unknown,55,20,Male
2,0,77,March,Thursday,U.S. Highway,Angle,No,Daylight,No/unknown,,40,Male
1,1,15,March,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,40,Male
1,0,49,March,Tuesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,78,Male
1,1,149,March,Thursday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,55,77,Male
2,0,117,March,Sunday,County Road,Front-to-Front,Yes,Not Daylight,Yes,55,34,Female
2,0,93,February,Tuesday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,20,Male
1,0,23,March,Saturday,County Road,Not Col. Moving,No,Daylight,Yes,55,24,Male
1,1,93,March,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,40,33,Female
1,0,163,March,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,40,45,Female
2,0,49,March,Friday,State Highway,Front-to-Front,No,Not Daylight,No/unknown,,30,Male
1,0,37,March,Tuesday,Interstate,Not Col. Moving,No,Not Daylight,Yes,70,36,Male
2,1,125,March,Saturday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,40,58,Male
1,0,159,April,Wednesday,Interstate,Not Col. Moving,No,Daylight,Yes,70,42,Male
1,1,99,March,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,50,31,Female
1,0,157,April,Wednesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,26,Male
1,0,93,April,Friday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,26,Male
2,0,81,April,Sunday,U.S. Highway,Front-to-Front,Yes,Not Daylight,No/unknown,70,33,Female
1,0,51,April,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,73,Female
2,0,45,April,Tuesday,County Road,Angle,No,Daylight,No/unknown,,89,Female
2,0,81,April,Friday,County Road,Angle,No,Daylight,Yes,40,20,Male
2,0,163,April,Monday,State Highway,Front-to-Rear,Yes,Not Daylight,Yes,55,51,Male
1,1,163,April,Monday,County Road,Not Col. Moving,No,Daylight,No/unknown,15,34,Female
2,0,163,March,Thursday,Interstate,Front-to-Rear,No,Not Daylight,No/unknown,,47,Male
1,2,125,March,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,50,22,Male
2,0,5,April,Tuesday,U.S. Highway,Front-to-Front,Yes,Not Daylight,Yes,70,29,Male
1,1,125,April,Wednesday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,40,65,Female
1,1,99,April,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,50,29,Male
1,0,61,February,Thursday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,50,67,Male
2,0,77,March,Tuesday,U.S. Highway,Angle,No,Not Daylight,No/unknown,45,20,Female
2,0,65,April,Thursday,Local Street,Not Col. Moving,No,Daylight,No/unknown,30,24,Male
1,0,21,April,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,20,Male
2,0,49,February,Thursday,Local Street,Angle,No,Daylight,Yes,,28,Male
1,0,163,April,Tuesday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,55,66,Male
2,0,79,April,Thursday,County Road,Front-to-Front,No,Daylight,No/unknown,55,24,Female
1,1,73,March,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,22,Male
1,0,127,April,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,23,Male
3,0,81,April,Friday,State Highway,Front-to-Rear,No,Not Daylight,No/unknown,55,59,Male
2,0,77,April,Thursday,County Road,Angle,No,Daylight,No/unknown,55,51,Female
2,0,125,April,Sunday,County Road,Angle,Yes,Not Daylight,No/unknown,45,43,Male
1,0,81,April,Thursday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,45,40,Male
2,3,163,April,Monday,State Highway,Front-to-Front,No,Daylight,No/unknown,40,59,Male
1,1,161,April,Wednesday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,70,56,Male
2,0,125,April,Friday,State Highway,Sideswipe,No,Not Daylight,Yes,70,25,Female
2,0,81,April,Sunday,State Highway,Angle,No,Daylight,No/unknown,,21,Female
1,0,163,April,Monday,Local Street,Not Col. Moving,No,Not Daylight,Yes,35,37,Female
2,0,119,April,Saturday,County Road,Angle,Yes,Not Daylight,No/unknown,,68,Male
1,0,159,April,Wednesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,26,Male
2,0,163,April,Sunday,Local Street,Front-to-Front,Yes,Daylight,No/unknown,30,25,Male
1,0,17,April,Friday,Interstate,Not Col. Moving,No,Daylight,Yes,,31,Male
1,0,121,April,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,28,Male
1,1,23,April,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,,Unknown
2,0,163,April,Sunday,Local Street,Not Col. Moving,No,Not Daylight,Yes,,17,Male
1,0,17,April,Monday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,37,Male
1,0,93,April,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,22,Male
1,0,55,April,Saturday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,61,Male
2,0,115,April,Friday,County Road,Front-to-Front,Yes,Not Daylight,No/unknown,55,18,Male
2,1,17,April,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,41,Female
2,0,75,April,Sunday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,46,Female
1,0,25,April,Saturday,State Highway,Not Col. Moving,No,Not Daylight,Yes,30,33,Male
2,0,81,April,Thursday,Local Street,Angle,No,Daylight,No/unknown,,22,Female
1,0,159,April,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,47,Male
2,0,147,April,Friday,County Road,Front-to-Front,No,Not Daylight,No/unknown,55,24,Female
1,1,161,April,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,0,34,Female
1,1,149,April,Wednesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,27,Male
1,1,163,April,Monday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,53,Male
1,0,163,April,Wednesday,Interstate,Not Col. Moving,Yes,Not Daylight,Yes,55,21,Female
1,0,161,April,Wednesday,County Road,Not Col. Moving,No,Daylight,Yes,55,21,Male
2,0,115,April,Friday,County Road,Angle,No,Daylight,No/unknown,,20,Male
2,0,125,April,Tuesday,State Highway,Front-to-Front,No,Daylight,No/unknown,50,80,Female
1,0,125,April,Monday,Local Street,Not Col. Moving,No,Not Daylight,Yes,15,50,Male
2,0,149,April,Thursday,Local Street,Angle,No,Daylight,No/unknown,45,61,Male
2,0,81,April,Saturday,County Road,Angle,Yes,Not Daylight,No/unknown,,45,Female
2,0,15,April,Tuesday,State Highway,Angle,No,Daylight,No/unknown,55,83,Female
4,0,115,April,Wednesday,Interstate,Sideswipe,No,Daylight,No/unknown,70,43,Male
1,1,163,April,Monday,U.S. Highway,Not Col. Moving,No,Not Daylight,No/unknown,45,60,Male
2,0,7,April,Monday,U.S. Highway,Angle,No,Daylight,No/unknown,40,81,Male
3,0,99,April,Thursday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,20,Male
1,1,163,March,Monday,Local Street,Not Col. Moving,No,Daylight,No/unknown,30,,Unknown
1,0,163,March,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,16,Male
1,0,163,March,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,40,39,Male
2,0,163,March,Friday,Local Street,Sideswipe,No,Daylight,No/unknown,35,66,Male
1,2,163,March,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,34,Male
3,0,75,April,Wednesday,State Highway,Front-to-Rear,Yes,Not Daylight,Yes,55,42,Female
1,0,163,April,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,33,Male
1,0,107,May,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,55,22,Male
2,0,91,May,Sunday,U.S. Highway,Angle,No,Daylight,No/unknown,,72,Female
2,0,125,May,Tuesday,Interstate,Other,No,Daylight,No/unknown,70,57,Male
2,0,21,May,Friday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,33,Male
3,0,163,April,Tuesday,Local Street,Angle,Yes,Daylight,No/unknown,,21,Male
1,0,161,May,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,55,62,Male
2,0,121,May,Thursday,County Road,Angle,No,Daylight,No/unknown,55,27,Male
2,0,27,May,Thursday,County Road,Angle,No,Daylight,No/unknown,,53,Male
2,0,107,May,Saturday,State Highway,Angle,No,Daylight,No/unknown,55,18,Male
2,0,81,May,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,42,Male
2,0,147,May,Tuesday,State Highway,Front-to-Front,No,Daylight,No/unknown,45,19,Male
2,0,161,May,Sunday,County Road,Front-to-Front,Yes,Daylight,No/unknown,55,36,Male
1,0,15,May,Wednesday,State Highway,Not Col. Moving,No,Daylight,Yes,55,41,Male
1,0,45,May,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,19,Male
1,0,129,May,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,55,60,Female
1,0,81,May,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,51,Male
2,0,125,May,Saturday,County Road,Angle,No,Daylight,No/unknown,45,76,Female
2,0,81,May,Saturday,County Road,Front-to-Front,No,Daylight,No/unknown,55,18,Male
1,0,149,May,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,39,Male
2,0,99,May,Friday,State Highway,Angle,No,Daylight,No/unknown,45,65,Female
1,0,81,May,Wednesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,60,Male
2,0,155,May,Sunday,County Road,Sideswipe,No,Daylight,No/unknown,55,91,Male
1,0,125,May,Sunday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,37,Female
2,0,63,May,Friday,County Road,Angle,Yes,Daylight,No/unknown,55,29,Female
2,0,147,May,Saturday,State Highway,Front-to-Front,Yes,Daylight,No/unknown,55,71,Female
2,0,21,May,Saturday,County Road,Angle,No,Daylight,No/unknown,,55,Male
2,0,75,May,Monday,County Road,Angle,Yes,Daylight,No/unknown,,24,Male
1,1,147,May,Monday,County Road,Not Col. Moving,No,Daylight,No/unknown,45,32,Male
2,0,15,May,Monday,County Road,Front-to-Front,No,Daylight,No/unknown,55,37,Female
1,0,31,May,Monday,County Road,Not Col. Moving,Yes,Daylight,Yes,55,49,Female
1,0,161,May,Friday,Interstate,Not Col. Moving,No,Daylight,No/unknown,70,43,Male
2,0,143,May,Saturday,County Road,Front-to-Front,No,Daylight,No/unknown,55,70,Male
2,0,85,May,Saturday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,52,Male
1,0,159,May,Saturday,Local Street,Not Col. Moving,Yes,Not Daylight,Yes,55,22,Male
2,0,163,May,Wednesday,Local Street,Angle,No,Daylight,Yes,,20,Male
2,0,163,May,Saturday,Local Street,Angle,No,Not Daylight,No/unknown,,19,Male
1,1,125,May,Sunday,Interstate,Not Col. Moving,Yes,Not Daylight,No/unknown,70,30,Male
1,0,25,May,Tuesday,Interstate,Not Col. Moving,No,Daylight,No/unknown,70,49,Male
1,0,21,May,Monday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,53,Male
1,0,161,May,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,71,Male
1,1,99,May,Thursday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,50,30,Male
1,0,107,May,Wednesday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,53,Female
1,1,161,May,Monday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,70,,Unknown
1,0,81,May,Wednesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,28,Male
1,1,163,May,Tuesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,30,,Unknown
1,1,69,May,Friday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,79,Female
1,1,163,May,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,20,Male
2,0,159,May,Wednesday,County Road,Sideswipe,Yes,Not Daylight,No/unknown,55,21,Male
1,1,163,May,Tuesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,,,Unknown
2,0,163,May,Saturday,Local Street,Angle,Yes,Not Daylight,No/unknown,35,36,Male
1,1,163,May,Monday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,23,Male
1,1,163,May,Tuesday,Local Street,Not Col. Moving,No,Not Daylight,Yes,25,28,Male
1,0,143,May,Wednesday,County Road,Not Col. Moving,No,Daylight,Yes,55,22,Male
2,0,59,May,Friday,County Road,Angle,No,Daylight,No/unknown,,81,Female
1,0,93,May,Saturday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,68,Male
1,0,163,May,Monday,Local Street,Not Col. Moving,Yes,Daylight,Yes,25,41,Male
1,1,163,May,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,,Unknown
1,0,75,May,Friday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,55,36,Male
1,0,37,April,Monday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,70,55,Male
1,1,163,May,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,45,,Unknown
2,0,151,May,Monday,County Road,Front-to-Front,Yes,Daylight,No/unknown,55,33,Male
1,0,59,May,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,21,Male
1,0,161,April,Wednesday,County Road,Not Col. Moving,No,Daylight,Yes,45,56,Female
1,0,149,May,Monday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,56,Male
1,1,143,May,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,45,37,Female
2,0,115,May,Saturday,County Road,Front-to-Front,Yes,Daylight,No/unknown,45,21,Male
2,0,147,June,Sunday,State Highway,Angle,No,Daylight,No/unknown,,64,Female
2,0,133,May,Friday,U.S. Highway,Angle,No,Daylight,No/unknown,55,79,Male
1,1,147,June,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,37,Male
1,0,23,June,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,83,Male
1,0,81,June,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,40,Male
2,0,125,June,Tuesday,Local Street,Angle,No,Daylight,No/unknown,40,44,Female
2,0,99,May,Saturday,State Highway,Angle,No,Daylight,Yes,,33,Male
1,1,75,June,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,50,18,Male
1,0,157,June,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,50,Male
1,0,17,June,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,17,Male
2,0,25,June,Tuesday,County Road,Not Col. Moving,No,Daylight,Yes,,21,Male
